node,workers,loader,batch_size,grad,init,1st batch
1,2,dali-cpu-to-gpu,32,fp16,17.0,12.5
1,2,dali-cpu-to-gpu,32,fp32,19.0,14.3
1,2,dali-cpu-to-gpu,64,fp16,31.2,24.4
1,2,dali-cpu-to-gpu,64,fp32,25.8,17.5
1,2,dali-gpu,32,fp16,15.8,13.5
1,2,dali-gpu,32,fp32,16.6,15.5
1,2,dali-gpu,64,fp16,19.5,18.0
1,2,dali-gpu,64,fp32,20.6,19.0
1,8,dali-cpu-to-gpu,32,fp16,21.3,16.4
1,8,dali-cpu-to-gpu,32,fp32,17.8,12.3
1,8,dali-cpu-to-gpu,64,fp16,26.0,17.2
1,8,dali-cpu-to-gpu,64,fp32,25.6,16.9
1,8,dali-gpu,32,fp16,15.0,12.0
1,8,dali-gpu,32,fp32,16.3,12.5
1,8,dali-gpu,64,fp16,23.7,21.3
1,8,dali-gpu,64,fp32,22.8,18.4
8,2,dali-cpu-to-gpu,32,fp16,11.8,10.5
8,2,dali-cpu-to-gpu,32,fp32,12.0,10.7
8,2,dali-cpu-to-gpu,64,fp16,16.1,14.0
8,2,dali-cpu-to-gpu,64,fp32,16.3,14.2
8,2,dali-gpu,32,fp16,11.2,10.6
8,2,dali-gpu,32,fp32,11.4,10.7
8,2,dali-gpu,64,fp16,15.1,14.4
8,2,dali-gpu,64,fp32,15.5,14.7
8,8,dali-cpu-to-gpu,32,fp16,11.5,10.6
8,8,dali-cpu-to-gpu,32,fp32,11.7,10.6
8,8,dali-cpu-to-gpu,64,fp16,15.4,14.1
8,8,dali-cpu-to-gpu,64,fp32,15.7,14.3
8,8,dali-gpu,32,fp16,12.3,10.7
8,8,dali-gpu,32,fp32,12.4,10.9
8,8,dali-gpu,64,fp16,17.3,15.7
8,8,dali-gpu,64,fp32,17.5,15.9
16,2,dali-cpu-to-gpu,32,fp16,11.8,10.6
16,2,dali-cpu-to-gpu,32,fp32,11.8,10.7
16,2,dali-cpu-to-gpu,64,fp16,16.1,14.0
16,2,dali-cpu-to-gpu,64,fp32,16.3,14.4
16,2,dali-gpu,32,fp16,11.3,10.7
16,2,dali-gpu,32,fp32,11.4,10.7
16,2,dali-gpu,64,fp16,15.2,14.5
16,2,dali-gpu,64,fp32,15.3,14.6
16,8,dali-cpu-to-gpu,32,fp16,11.6,10.6
16,8,dali-cpu-to-gpu,32,fp32,11.7,10.7
16,8,dali-cpu-to-gpu,64,fp16,15.4,14.1
16,8,dali-cpu-to-gpu,64,fp32,15.9,14.5
16,8,dali-gpu,32,fp16,12.4,10.9
16,8,dali-gpu,32,fp32,12.5,10.9
16,8,dali-gpu,64,fp16,17.3,15.7
16,8,dali-gpu,64,fp32,17.4,15.8
32,2,dali-cpu-to-gpu,32,fp16,12.2,10.6
32,2,dali-cpu-to-gpu,32,fp32,12.2,11.0
32,2,dali-cpu-to-gpu,64,fp16,16.2,14.0
32,2,dali-cpu-to-gpu,64,fp32,16.4,14.3
32,2,dali-gpu,32,fp16,11.5,10.8
32,2,dali-gpu,32,fp32,11.6,10.9
32,2,dali-gpu,64,fp16,15.2,14.5
32,2,dali-gpu,64,fp32,15.8,15.1
32,8,dali-cpu-to-gpu,32,fp16,11.6,10.7
32,8,dali-cpu-to-gpu,32,fp32,11.9,10.9
32,8,dali-cpu-to-gpu,64,fp16,15.7,14.3
32,8,dali-cpu-to-gpu,64,fp32,15.8,14.4
32,8,dali-gpu,32,fp16,12.5,10.9
32,8,dali-gpu,32,fp32,12.6,11.1
32,8,dali-gpu,64,fp16,17.9,15.8
32,8,dali-gpu,64,fp32,17.7,16.1
48,2,dali-cpu-to-gpu,32,fp16,12.7,11.4
48,2,dali-cpu-to-gpu,32,fp32,12.5,11.3
48,2,dali-cpu-to-gpu,64,fp16,16.1,13.9
48,2,dali-cpu-to-gpu,64,fp32,16.5,14.4
48,2,dali-gpu,32,fp16,11.3,10.7
48,2,dali-gpu,32,fp32,11.7,11.1
48,2,dali-gpu,64,fp16,15.6,14.8
48,2,dali-gpu,64,fp32,16.0,15.2
48,8,dali-cpu-to-gpu,32,fp16,11.7,10.6
48,8,dali-cpu-to-gpu,32,fp32,12.4,11.3
48,8,dali-cpu-to-gpu,64,fp16,16.0,14.7
48,8,dali-cpu-to-gpu,64,fp32,16.8,15.4
48,8,dali-gpu,32,fp16,12.8,11.2
48,8,dali-gpu,32,fp32,12.9,11.4
48,8,dali-gpu,64,fp16,17.6,16.0
48,8,dali-gpu,64,fp32,18.0,16.4
